"","date","Total.Tested","positive","Recovered","deaths","hospitalized","new.hospital","ICU","Admit","RMCC6.Hospitalized","RMCC6.ICU","RMCC6.Admit","RMCC6.Leave","negative","Percent.Pos","discharged","never_hospitalized","New.Positive","New.Negative","New.Percent.Positive","Week.Positivity.Rate","Total.Daily.Tests","Still.Sick","Percent.Hospitalized","New.Deaths","Bremer.Positive","Butler.P","BlackHawk.P","Bremer.Recovered","Butler.R","BlackHawk.R","Bremer.Death","Butler.D","BlackHawk.D","Bremer.SS","Butler.SS","BlackHawk.SS","Knights.Positive","Knights.Isolation","Kights.Quarantine","TotalTested2","TotalPositive2","TotalRecovered2","TotalDeaths2","New.Positive.Tests","Individuals.Reported","Individuals.Positive","X","Bremer.Rep","Bremer.Pos","Black.Hawk.Rep","Black.Hawk.Pos","Butler.Rep","Butler.Pos","Bremer.Pct","Black.Hawk.Pct","Butler.Pct","State.7Day","State.14Day","Bremer.7Day","Black.Hawk.7Day","Butler.7Day","Bremer.School","Black.Hawk.School","Butler.School","Total.Tests","Positive.Tests","PCR.Individuals","Antigen.Individuals","Positive.PCR.Individuals","Positive.Antigen.Individuals","Individuals.Tested","Individuals.Postive","Bremer.Total.Tests","Bremer.Positive.Tests","Bremer.PCR.Individuals","Bremer.Antigen.Individuals","Bremer.Positive.PCR.Individuals","Bremer.Positive.Antigen.Individuals","Bremer.Individuals.Tested","Bremer.Individuals.Postive","Butler.Total.Tests","Butler.Positive.Tests","Butler.PCR.Individuals","ButlerAntigen.Individuals","Positive.Butler.PCR.Individuals","Positive.ButlerAntigen.Individuals","Butler.Individuals.Tested","Butler.Individuals.Postive","Black.Hawk.Total.Tests","Black.Hawk.Positive.Tests","BH.PCR.Individuals","BH.Antigen.Individuals","Positive.BH.PCR.Individuals","Positive.BH.Antigen.Individuals","Positive.Positive.BH.PCR.Individuals","Positive.Positive.BH.Antigen.Individuals","time.change","np_day","New.Bremer.Positive.Tests"
"296",2021-01-07,1380542,291370,858342,4060,613,NA,119,97,105,13,22,11,1089172,NA,NA,NA,1904,2953,NA,NA,4857,35653,1.71935040529549,61,2314,1355,13084,2119,1141,11654,46,23,222,149,214,1208,NA,NA,NA,NA,NA,NA,NA,NA,19238,2057,0.106923797,150,7,1404,45,137,20,0.046666667,0.032051282,0.145985401,0.09734939,0.090697123,0.057273769,0.025966044,0.092198582,0.117,0.125,0.166,3185108,314630,NA,NA,NA,NA,1380524,291370,23872,2420,NA,NA,NA,NA,9630,2314,18583,1432,NA,NA,NA,NA,5732,1355,140300,14280,NA,NA,NA,NA,58187,13084,1,1904,NA
"297",2021-01-08,1386169,293448,858342,4065,579,NA,108,89,93,13,20,32,1092721,NA,NA,NA,2078,3549,NA,NA,5627,35894,1.61308296651251,5,2330,1377,13172,2127,1146,11719,46,23,222,157,231,1231,NA,NA,NA,NA,NA,NA,NA,NA,28305,2261,0.07987988,339,20,1183,88,332,20,0.05899705,0.074387151,0.060240964,0.098216678,0.091418711,0.058933583,0.030659002,0.088888889,0.113,0.123,0.173,3213413,316891,NA,NA,NA,NA,1389169,293448,24211,2440,NA,NA,NA,NA,9684,2330,18915,1452,NA,NA,NA,NA,5779,1377,142081,14373,NA,NA,NA,NA,58408,13172,1,2078,NA
"298",2021-01-09,1390852,295113,858342,4124,549,NA,110,75,91,12,17,19,1095739,NA,NA,NA,1665,3018,NA,NA,4683,35885,1.52988713947332,59,2345,1394,13244,2130,1149,11779,47,23,224,168,245,1241,NA,NA,NA,NA,NA,NA,NA,NA,23011,1777,0.077223936,328,16,972,72,190,16,0.048780488,0.074074074,0.084210526,0.09523916,0.090434167,0.057437408,0.03884839,0.083265966,0.116,0.123,0.184,3236424,318668,NA,NA,NA,NA,1390852,295113,24539,2456,NA,NA,NA,NA,9743,2345,19105,1468,NA,NA,NA,NA,5802,1394,143571,14459,NA,NA,NA,NA,58619,13244,1,1665,NA
"299",2021-01-10,1394802,296443,858342,4127,541,NA,105,72,79,11,10,22,1098359,NA,NA,NA,1330,2620,NA,NA,3950,36719,1.47335167079714,3,2357,1402,13288,2130,1151,11789,47,23,224,180,251,1275,NA,NA,NA,NA,NA,NA,NA,NA,11857,1440,0.121447246,74,10,806,44,77,8,0.135135135,0.054590571,0.103896104,0.094591448,0.091485475,0.060693642,0.043424189,0.082539683,0.119,0.124,0.187,3248281,320108,NA,NA,NA,NA,1394802,296443,24613,2466,NA,NA,NA,NA,9770,2357,19182,1476,NA,NA,NA,NA,5818,1402,144047,14502,NA,NA,NA,NA,58785,13288,1,1330,NA
"300",2021-01-11,1396433,296859,858342,4138,555,NA,96,74,82,12,14,11,1099574,NA,NA,NA,416,1215,NA,NA,1631,36571,1.51759590932706,11,2361,1406,13297,2137,1152,11803,47,23,225,177,254,1269,NA,NA,NA,NA,NA,NA,NA,NA,5694,443,0.077801194,39,6,751,9,40,3,0.153846154,0.011984021,0.075,0.092717391,0.090855239,0.061239193,0.046,0.087615838,0.118,0.121,0.193,3253975,320551,NA,NA,NA,NA,1396433,296859,24652,2472,NA,NA,NA,NA,9783,2361,19222,1479,NA,NA,NA,NA,5820,1406,144310,14519,NA,NA,NA,NA,58840,13297,1,416,NA
"301",2021-01-12,1399877,298040,858342,4139,552,NA,90,62,86,11,13,9,1101837,NA,NA,NA,1181,2263,NA,NA,3444,35158,1.57005517947551,1,2360,1414,13328,2148,1163,11880,47,23,225,165,251,1223,NA,NA,NA,NA,NA,NA,NA,NA,22088,1262,0.057135096,114,1,636,31,195,8,0.00877193,0.048742138,0.041025641,0.08998094,0.091125035,0.06234414,0.052100382,0.085448393,0.106,0.117,0.187,3276063,321813,NA,NA,NA,NA,1399877,298040,24766,2473,NA,NA,NA,NA,9804,2360,19417,1487,NA,NA,NA,NA,5840,1414,145091,14552,NA,NA,NA,NA,58955,13328,1,1181,NA
"302",2021-01-13,1405114,299884,858342,4222,516,NA,79,82,92,10,20,14,1105230,NA,NA,NA,1844,3393,NA,NA,5237,35171,1.4671177959114,83,2369,1431,13427,2155,1166,11933,48,23,228,166,265,1266,NA,NA,NA,NA,NA,NA,NA,NA,23944,2001,0.083569997,182,9,418,99,193,19,0.049450549,0.236842105,0.098445596,0.083802381,0.090998952,0.056280587,0.062884927,0.080756014,0.104,0.119,0.192,3300007,323814,NA,NA,NA,NA,1405114,299884,24948,2482,NA,NA,NA,NA,9835,2369,19610,1506,NA,NA,NA,NA,5870,1431,146138,14649,NA,NA,NA,NA,59173,13427,1,1844,NA
"303",2021-01-14,1410318,301442,858342,4232,532,NA,85,86,100,11,20,12,1108876,NA,NA,NA,1558,3646,NA,NA,5204,34984,1.52069517493711,10,2385,1442,13490,2165,1168,12020,48,23,228,172,274,1242,NA,NA,NA,NA,NA,NA,NA,NA,20399,1664,0.081572626,155,17,262,63,86,9,0.109677419,0.240458015,0.104651163,0.080178569,0.088270008,0.064175467,0.080747812,0.074573226,0.11,0.12,0.19,3320406,325478,NA,NA,NA,NA,1410318,301442,25103,2499,NA,NA,NA,NA,9865,2385,19696,1515,NA,NA,NA,NA,5885,1442,146661,14713,NA,NA,NA,NA,59329,13490,1,1558,NA
"304",2021-01-15,1414800,302782,858342,4251,513,NA,91,88,89,13,14,25,1112018,NA,NA,NA,1340,3142,NA,NA,4482,34702,1.47830096248055,19,2402,1454,13556,2181,1177,12107,48,23,228,173,277,1221,NA,NA,NA,NA,NA,NA,NA,NA,23096,1460,0.063214409,292,19,69,66,179,12,0.065068493,0.956521739,0.067039106,0.077231741,0.087276429,0.065878378,0.098109351,0.078125,0.11,0.11,0.19,3343502,326938,NA,NA,NA,NA,1414800,302782,25395,2518,NA,NA,NA,NA,9917,2402,19875,1527,NA,NA,NA,NA,5909,1454,148027,14779,NA,NA,NA,NA,59522,13556,1,1340,NA
"305",2021-01-16,1418943,304125,858342,4257,505,NA,91,80,95,13,19,13,1114818,NA,NA,NA,1343,2800,NA,NA,4143,34547,1.46177670998929,6,2416,1461,13617,2188,1183,12182,48,23,228,180,278,1207,NA,NA,NA,NA,NA,NA,NA,NA,21459,1479,0.068922131,177,16,168,60,199,8,0.09039548,0.357142857,0.040201005,0.075845865,0.085748443,0.075508228,0.119614148,0.069143447,0.11,0.11,0.19,3364961,328417,NA,NA,NA,NA,1418943,304125,25572,2534,NA,NA,NA,NA,9965,2417,20074,1535,NA,NA,NA,NA,5936,1461,149635,14848,NA,NA,NA,NA,59759,13616,1,1343,NA
"306",2021-01-17,1421490,304851,858342,4321,474,NA,93,61,94,13,15,16,1116639,NA,NA,NA,726,1821,NA,NA,2547,34605,1.36974425661032,64,2420,1466,13648,2191,1185,12194,48,24,236,181,281,1218,4,4,12,NA,NA,NA,NA,NA,7942,793,0.099848905,40,2,105,32,41,7,0.05,0.304761905,0.170731707,0.073036863,0.0843402,0.07007007,0.149439601,0.07073955,0.1,0.11,0.18,3372903,329210,NA,NA,NA,NA,1421490,304851,25612,2536,NA,NA,NA,NA,9973,2420,20115,1542,NA,NA,NA,NA,5952,1466,149958,14889,NA,NA,NA,NA,59864,13648,1,726,NA
"307",2021-01-18,1422938,305277,858342,4323,483,NA,84,58,95,9,11,10,1117661,NA,NA,NA,426,1022,NA,NA,1448,34499,1.4000405808864,2,2422,1468,13660,2195,1189,12218,48,24,236,179,279,1206,5,5,12,NA,NA,NA,NA,NA,5058,440,0.086990905,26,3,57,12,17,0,0.115384615,0.210526316,0,0.073387318,0.083569351,0.067951318,0.211661808,0.069230769,0.1,0.11,0.18,3377961,329650,NA,NA,NA,NA,1422938,305277,25638,2539,NA,NA,NA,NA,9984,2422,20132,1542,NA,NA,NA,NA,5958,1468,150183,14891,NA,NA,NA,NA,59921,13660,1,426,NA
"308",2021-01-19,1426214,306239,858342,4324,490,NA,85,56,92,9,14,17,1119975,NA,NA,NA,962,2314,NA,NA,3276,31918,1.53518390876621,1,2429,1473,13702,2204,1202,12308,48,24,236,177,271,1158,11,11,15,NA,NA,NA,NA,NA,21929,1032,0.047060969,202,6,153,42,208,4,0.02970297,0.274509804,0.019230769,0.071624121,0.081211008,0.067039106,0.303571429,0.063921993,0.1,0.1,0.17,3399890,330682,NA,NA,NA,NA,1426214,306238,25840,2545,NA,NA,NA,NA,10013,2429,20340,1546,NA,NA,NA,NA,5972,1473,151245,14937,NA,NA,NA,NA,60074,13702,1,962,NA
"309",2021-01-20,1430371,307570,858342,4332,474,NA,86,85,91,10,21,22,1122801,NA,NA,NA,1331,2826,NA,NA,4157,32682,1.45033963649715,8,2449,1483,13785,2224,1220,12392,48,24,236,177,263,1157,12,12,51,NA,NA,NA,NA,NA,21127,1396,0.066076584,165,19,160,83,133,12,0.115151515,0.51875,0.090225564,0.068291877,0.076446127,0.077578051,0.367556468,0.060254925,0.1,0.1,0.15,3421017,332078,NA,NA,NA,NA,1430371,307570,26005,2564,NA,NA,NA,NA,10056,2449,20473,1558,NA,NA,NA,NA,5992,1483,151871,15028,NA,NA,NA,NA,60234,13785,1,1331,NA
"310",2021-01-21,1435642,309274,858342,4394,467,NA,89,77,90,10,20,21,1126368,NA,NA,NA,1704,3567,NA,NA,5271,32931,1.41811666818499,62,2470,1493,13890,2238,1236,12482,48,24,238,184,257,1170,13,13,52,NA,NA,NA,NA,NA,22177,1890,0.08522343,322,22,218,105,173,10,0.068322981,0.481651376,0.057803468,0.069143565,0.074928512,0.071078431,0.430107527,0.055789474,0.09,0.1,0.13,3443194,333968,NA,NA,NA,NA,1435642,309274,26327,2586,NA,NA,NA,NA,10181,2470,20646,1568,NA,NA,NA,NA,6015,1493,142874,15132,NA,NA,NA,NA,60452,13890,1,1704,NA
"311",2021-01-22,1439736,310578,858342,4445,450,NA,89,66,89,13,14,15,1129158,NA,NA,NA,1304,2790,NA,NA,4094,33122,1.35861361028923,51,2481,1498,13962,2248,1245,12541,48,24,242,185,253,1179,16,16,57,NA,NA,NA,NA,NA,23271,1403,0.060289631,290,11,189,72,143,5,0.037931034,0.380952381,0.034965035,0.068581606,0.073028468,0.064648118,0.386666667,0.050328228,0.08,0.1,0.12,3466465,335371,NA,NA,NA,NA,1439736,310578,26617,2597,NA,NA,NA,NA,10289,2481,20789,1573,NA,NA,NA,NA,6034,1498,154176,15210,NA,NA,NA,NA,60641,13962,1,1304,NA
"312",2021-01-23,1444457,311964,858342,4478,419,NA,76,64,80,15,15,24,1132493,NA,NA,NA,1386,3335,NA,NA,4721,34298,1.22164557700157,33,2495,1509,14042,2253,1246,12563,48,24,243,194,263,1236,16,16,52,NA,NA,NA,NA,NA,22782,1500,0.065841454,259,12,228,80,189,13,0.046332046,0.350877193,0.068783069,0.068020533,0.071998987,0.057515337,0.383783784,0.056415929,0.08,0.1,0.12,3489247,336871,NA,NA,NA,NA,1444457,311964,26876,2609,NA,NA,NA,NA,10363,2495,20978,1586,NA,NA,NA,NA,6058,1509,155211,15297,NA,NA,NA,NA,60869,14042,1,1386,NA
"313",2021-01-24,1447206,312807,858342,4487,382,NA,79,51,75,14,14,19,1134399,NA,NA,NA,843,1906,NA,NA,2749,34221,1.11627363314924,9,2498,1513,14078,2257,1248,12584,48,24,243,193,265,1251,16,16,52,NA,NA,NA,NA,NA,9168,914,0.09969459,46,5,114,36,49,4,0.108695652,0.315789474,0.081632653,0.068320161,0.070670121,0.059541985,0.384271671,0.052631579,0.08,0.11,0.12,3498415,337785,NA,NA,NA,NA,1447206,312807,26922,2614,NA,NA,NA,NA,10373,2498,21027,1590,NA,NA,NA,NA,6071,1513,155583,15335,NA,NA,NA,NA,60983,14078,1,843,NA
"314",2021-01-25,1448928,313238,858342,4488,383,NA,78,40,70,14,6,11,1135690,NA,NA,NA,431,1291,NA,NA,1722,34020,1.12580834803057,1,2501,1518,14094,2263,1249,12616,48,24,243,190,269,1235,16,16,24,NA,NA,NA,NA,NA,5978,470,0.078621613,35,1,60,16,56,5,0.028571429,0.266666667,0.089285714,0.068060301,0.070697793,0.057619409,0.386809269,0.05573081,0.08,0.11,0.12,3504393,338255,NA,NA,NA,NA,1448928,313238,26957,2615,NA,NA,NA,NA,10385,2501,21083,1595,NA,NA,NA,NA,6078,1518,155837,15348,NA,NA,NA,NA,61043,14094,1,431,NA
"315",2021-01-26,1451973,314058,858342,4488,415,NA,78,49,80,14,13,3,1137915,NA,NA,NA,820,2225,NA,NA,3045,33123,1.25290583582405,0,2504,1523,14128,2249,1253,12659,48,24,243,207,270,1226,16,16,32,NA,NA,NA,NA,NA,20876,902,0.043207511,114,4,156,34,136,6,0.035087719,0.217948718,0.044117647,0.067595052,0.06959704,0.060113729,0.378666667,0.062571104,0.07,0.1,0.1,3525269,339157,NA,NA,NA,NA,1451973,314058,27071,2619,NA,NA,NA,NA,10412,2504,21219,1601,NA,NA,NA,NA,6098,1523,156973,15396,NA,NA,NA,NA,61199,14128,1,820,NA
"316",2021-01-27,1455735,315152,858342,4492,408,NA,81,76,75,14,17,22,1140583,NA,NA,NA,1094,2668,NA,NA,3762,32829,1.24280361875171,4,2510,1526,14187,2256,1260,12721,48,24,243,206,266,1223,15,15,34,NA,NA,NA,NA,NA,19151,1187,0.061981098,153,7,170,59,154,1,0.045751634,0.347058824,0.006493506,0.066983785,0.067631427,0.050861362,0.354185022,0.048888889,0.07,0.1,0.1,3544420,340344,NA,NA,NA,NA,1455735,315152,27224,2626,NA,NA,NA,NA,10437,2510,21373,1602,NA,NA,NA,NA,6112,1526,158136,15451,NA,NA,NA,NA,61369,14187,1,1094,NA
"317",2021-01-28,1459926,316437,858342,4500,391,NA,80,52,74,16,13,14,1143489,NA,NA,NA,1285,2906,NA,NA,4191,32250,1.21240310077519,8,2515,1528,14251,2265,1275,12772,48,24,243,202,253,1236,12,12,29,NA,NA,NA,NA,NA,20431,1363,0.066712349,243,6,196,64,122,2,0.024691358,0.326530612,0.016393443,0.063613273,0.066391213,0.040350877,0.324348607,0.042402827,0.06,0.1,0.09,3564851,341707,NA,NA,NA,NA,1459926,316437,27467,2632,NA,NA,NA,NA,10470,2515,21495,1604,NA,NA,NA,NA,6127,1528,158919,15518,NA,NA,NA,NA,61565,14251,1,1285,NA
"318",2021-01-29,1462822,317124,858342,4532,383,NA,82,60,87,17,15,2,1145698,NA,NA,NA,687,2209,NA,NA,2896,31387,1.2202504221493,32,2520,1528,14276,2272,1286,12830,48,26,246,200,242,1200,NA,NA,NA,NA,NA,NA,NA,NA,14707,792,0.053851907,156,0,139,25,72,0,0,0.179856115,0,0.063027774,0.065920798,0.034791252,0.295390405,0.039845758,0.06,0.1,0.08,3579558,342499,NA,NA,NA,NA,1462822,317124,27623,2632,NA,NA,NA,NA,10498,2520,21567,1604,NA,NA,NA,NA,6136,1528,159753,15557,NA,NA,NA,NA,61704,14276,1,687,NA
"319",2021-01-30,1469900,318450,858342,4577,376,NA,84,48,83,14,15,19,1151450,NA,NA,NA,1326,5752,NA,NA,7078,32347,1.16239527622345,45,2529,1535,14338,2274,1288,12840,48,26,248,207,247,1250,NA,NA,NA,NA,NA,NA,NA,NA,33002,1429,0.043300406,462,15,1337,62,388,9,0.032467532,0.046372476,0.023195876,0.057228354,0.062645649,0.031430935,0.136279926,0.027635619,0.06,0.1,0.08,3612560,343928,NA,NA,NA,NA,1469900,318450,28085,2647,NA,NA,NA,NA,10801,2529,21955,1613,NA,NA,NA,NA,6257,1535,162799,15616,NA,NA,NA,NA,63041,14338,1,1326,NA
"320",2021-01-31,1472772,319206,858342,4651,358,NA,94,55,72,16,8,19,1153566,NA,NA,NA,756,2116,NA,NA,2872,32075,1.11613406079501,74,2535,1536,14371,2285,1293,12865,48,26,248,202,243,1258,NA,NA,NA,NA,NA,NA,NA,NA,9588,842,0.087818106,71,5,121,33,27,2,0.070422535,0.272727273,0.074074074,0.056452199,0.062428534,0.030794165,0.134465351,0.02617801,0.07,0.1,0.08,3622148,344770,NA,NA,NA,NA,1472772,319206,28156,2652,NA,NA,NA,NA,10817,2535,21982,1615,NA,NA,NA,NA,6265,1536,163255,15657,NA,NA,NA,NA,63162,14371,1,756,NA
"321",2021-02-01,1474033,319495,858342,4901,368,NA,92,41,71,13,8,9,1154538,NA,NA,NA,289,972,NA,NA,1261,31556,1.16618075801749,250,2537,1536,14377,2287,1296,12876,51,29,259,199,240,1242,3,3,18,NA,NA,NA,NA,NA,5800,282,0.04862069,41,0,48,6,16,0,0,0.125,0,0.055011938,0.061611204,0.02983871,0.130595293,0.021857923,0.06,0.1,0.07,3627948,345052,NA,NA,NA,NA,1474033,319495,28197,2652,NA,NA,NA,NA,10828,2537,21998,1615,NA,NA,NA,NA,6266,1536,163709,15672,NA,NA,NA,NA,63210,14377,1,289,NA
"322",2021-02-02,1477304,320342,858342,4906,390,NA,88,49,75,17,11,7,1156962,NA,NA,NA,847,2424,NA,NA,3271,29095,1.34043650111703,5,2544,1538,14389,2300,1325,12998,51,29,261,193,213,1130,2,2,8,NA,NA,NA,NA,NA,20700,950,0.04589372,154,9,120,12,96,2,0.058441558,0.1,0.020833333,0.055479458,0.061585959,0.0328125,0.12247771,0.018285714,0.07,0.09,0.07,3648648,346002,NA,NA,NA,NA,1477304,320342,28351,2661,NA,NA,NA,NA,10856,2544,22094,1617,NA,NA,NA,NA,6276,1538,164478,15683,NA,NA,NA,NA,63330,14389,1,847,NA
"323",2021-02-03,1480685,321271,858342,4919,382,NA,86,58,77,18,16,14,1159414,NA,NA,NA,929,2452,NA,NA,3381,28040,1.3623395149786,13,2554,1543,14432,2313,1352,13071,51,29,261,190,191,1100,3,3,20,NA,NA,NA,NA,NA,14888,989,0.066429339,88,8,148,43,84,5,0.090909091,0.290540541,0.05952381,0.055802747,0.061492089,0.035390947,0.1161688,0.02484472,0.08,0.09,0.07,3663536,346991,NA,NA,NA,NA,1480685,321271,28439,2669,NA,NA,NA,NA,10877,2554,22178,1622,NA,NA,NA,NA,6291,1543,165174,15730,NA,NA,NA,NA,63478,14432,1,929,NA
"324",2021-02-04,1485685,322512,858342,4975,360,NA,77,54,66,12,11,22,1163173,NA,NA,NA,1241,3759,NA,NA,5000,27526,1.307854392211,56,2559,1546,14473,2328,1371,13120,51,29,263,180,175,1090,2,2,14,NA,NA,NA,NA,NA,26416,1343,0.0508404,317,7,201,41,226,3,0.022082019,0.2039801,0.013274336,0.052973198,0.058218984,0.034134988,0.105014191,0.02310231,0.07,0.09,0.06,3689952,348334,NA,NA,NA,NA,1485685,322512,28756,2676,NA,NA,NA,NA,10923,2559,22404,1625,NA,NA,NA,NA,6305,1546,166762,15768,NA,NA,NA,NA,63679,14473,1,1241,NA
"325",2021-02-05,1489077,323301,858342,5033,348,NA,66,52,71,11,14,9,1165776,NA,NA,NA,789,2603,NA,NA,3392,26739,1.30146976326714,58,2565,1550,14504,2341,1384,13176,52,29,264,172,166,1064,2,2,14,NA,NA,NA,NA,NA,19613,871,0.04440932,159,6,124,31,90,3,0.037735849,0.25,0.033333333,0.051581838,0.056906623,0.03869969,0.108623154,0.025889968,0.07,0.08,0.06,3709565,349205,NA,NA,NA,NA,1489077,323301,28915,2682,NA,NA,NA,NA,10952,2565,22494,1628,NA,NA,NA,NA,6316,1550,167626,15804,NA,NA,NA,NA,63803,14504,1,789,NA
"326",2021-02-06,1491722,323872,858342,5067,336,NA,67,47,70,12,10,11,1167850,NA,NA,NA,571,2074,NA,NA,2645,25703,1.30724039995331,34,2572,1551,14517,2354,1391,13221,52,29,265,166,160,1031,1,1,30,NA,NA,NA,NA,NA,16480,593,0.03598301,120,3,95,13,128,5,0.025,0.136842105,0.0390625,0.051724898,0.054590833,0.04,0.208868145,0.029985007,0.07,0.08,0.05,3726045,349798,NA,NA,NA,NA,1491722,323872,29035,2685,NA,NA,NA,NA,10967,2572,22622,1633,NA,NA,NA,NA,6327,1551,168827,15831,NA,NA,NA,NA,63898,14517,1,571,NA
"327",2021-02-07,1491935,323936,858342,5108,316,NA,68,69,70,12,17,17,1167999,NA,NA,NA,64,149,NA,NA,213,25756,1.22689858673707,41,2573,1551,14550,2360,1398,13234,52,29,265,161,153,1051,1,1,30,NA,NA,NA,NA,NA,8382,604,0.072059174,29,3,108,33,38,1,0.103448276,0.305555556,0.026315789,0.05016076,0.053459146,0.039647577,0.212085308,0.028023599,0.07,0.08,0.05,3734427,350402,NA,NA,NA,NA,1493897,324403,29064,2688,NA,NA,NA,NA,10976,2573,22660,1632,NA,NA,NA,NA,6333,1551,169172,15862,NA,NA,NA,NA,64006,14550,1,64,NA
"328",2021-02-08,1495202,324664,858342,5108,318,NA,69,34,69,11,10,11,1170538,NA,NA,NA,728,2539,NA,NA,3267,25439,1.25004913715162,0,2575,1551,14556,2361,1403,13255,52,29,265,162,148,1036,1,1,26,NA,NA,NA,NA,NA,4942,274,0.05544314,23,1,36,6,22,1,0.043478261,0.166666667,0.045454545,0.050475225,0.052860718,0.041573034,0.215144231,0.029239766,0.07,0.08,0.05,3739369,350676,NA,NA,NA,NA,1495202,324664,29087,2689,NA,NA,NA,NA,10980,2575,22682,1632,NA,NA,NA,NA,6339,1551,169403,15864,NA,NA,NA,NA,64042,14556,1,728,NA
"329",2021-02-09,1498121,325376,858342,5110,327,NA,67,40,73,12,10,6,1172745,NA,NA,NA,712,2207,NA,NA,2919,23826,1.37245026441702,2,2582,1555,14570,2370,1422,13345,52,29,265,160,133,960,1,1,26,NA,NA,NA,NA,NA,19065,788,0.041332284,192,12,116,14,153,1,0.0625,0.120689655,0.006535948,0.049751334,0.052782364,0.043103448,0.218599034,0.025641026,0.07,0.07,0.05,3758434,351464,NA,NA,NA,NA,1498121,325376,29279,2701,NA,NA,NA,NA,11009,2582,22835,1634,NA,NA,NA,NA,6355,1555,170474,15880,NA,NA,NA,NA,64158,14570,1,712,NA
"330",2021-02-10,1501787,326414,858342,5145,292,NA,67,48,60,11,11,24,1175373,NA,NA,NA,1038,2628,NA,NA,3666,23449,1.24525566122223,35,2592,1557,14603,2381,1426,13398,52,29,267,159,131,938,1,1,16,NA,NA,NA,NA,NA,20114,1138,0.056577508,87,9,135,33,141,4,0.103448276,0.244444444,0.028368794,0.048786214,0.052355976,0.044228695,0.209815951,0.022556391,0.08,0.07,0.05,3778548,352602,NA,NA,NA,NA,1501787,326414,29366,2710,NA,NA,NA,NA,11027,2592,22976,1638,NA,NA,NA,NA,6377,1557,171490,15919,NA,NA,NA,NA,64293,14603,1,1038,NA
"331",2021-02-11,1505497,327253,858342,5174,273,NA,64,32,61,12,12,11,1178244,NA,NA,NA,839,2871,NA,NA,3710,22955,1.18928338052712,29,2597,1558,14634,2390,1436,13431,53,30,270,154,122,933,2,2,16,NA,NA,NA,NA,NA,18861,918,0.048671863,134,8,152,31,112,1,0.059701493,0.203947368,0.008928571,0.048261165,0.05079593,0.056451613,0.210182768,0.023391813,0.08,0.07,0.05,3797409,353520,NA,NA,NA,NA,1505497,327253,29500,2718,NA,NA,NA,NA,11054,2597,23088,1637,NA,NA,NA,NA,6397,1558,172362,15950,NA,NA,NA,NA,64445,14634,1,839,NA
"332",2021-02-12,1508871,327991,858342,5196,249,NA,59,41,57,11,8,12,1180880,NA,NA,NA,738,2636,NA,NA,3374,22432,1.11002139800285,22,2602,1561,14653,2397,1443,13473,53,30,271,152,118,909,1,1,14,NA,NA,NA,NA,NA,20265,818,0.040365162,283,2,95,19,151,4,0.007067138,0.2,0.026490066,0.047479858,0.049719464,0.043778802,0.202170963,0.022818792,0.07,0.06,0.05,3817674,354338,NA,NA,NA,NA,1508871,327991,29783,2720,NA,NA,NA,NA,11084,2602,23239,1642,NA,NA,NA,NA,6410,1561,172965,15979,NA,NA,NA,NA,64540,14653,1,738,NA
"333",2021-02-13,1511672,328642,858342,5223,225,NA,55,37,45,10,4,16,1183030,NA,NA,NA,651,2150,NA,NA,2801,22244,1.01150872145298,27,2607,1561,14679,2402,1450,13507,53,30,274,152,111,898,1,1,13,NA,NA,NA,NA,NA,16135,710,0.044003719,97,11,123,26,113,4,0.113402062,0.211382114,0.03539823,0.048717568,0.050260114,0.05443787,0.211764706,0.021917808,0.07,0.06,0.04,3833809,355048,NA,NA,NA,NA,1511672,328642,29880,2731,NA,NA,NA,NA,11104,2607,23352,1638,NA,NA,NA,NA,6423,1561,173837,16000,NA,NA,NA,NA,64663,14679,1,651,NA
"334",2021-02-14,1513648,329096,858342,5236,240,NA,57,54,51,13,14,8,1184552,NA,NA,NA,454,1522,NA,NA,1976,22087,1.08661203422828,13,2609,1562,14695,2406,1451,13519,53,30,275,150,111,901,1,1,13,NA,NA,NA,NA,NA,6370,499,0.07833595,32,4,61,16,19,1,0.125,0.262295082,0.052631579,0.048651562,0.049428751,0.055424528,0.201949861,0.022503516,0.07,0.06,0.05,3840179,355547,NA,NA,NA,NA,1513648,329096,29912,2727,NA,NA,NA,NA,11114,2609,23371,1643,NA,NA,NA,NA,6430,1562,174172,16024,NA,NA,NA,NA,64724,14695,1,454,NA
"335",2021-02-15,1514925,329297,858342,5236,242,NA,57,35,52,11,6,5,1185628,NA,NA,NA,201,1076,NA,NA,1277,21901,1.10497237569061,0,2610,1562,14698,2409,1453,13545,53,30,275,148,109,878,1,1,13,NA,NA,NA,NA,NA,4576,210,0.045891608,21,2,39,3,26,0,0.095238095,0.076923077,0,0.048213235,0.049375712,0.056737589,0.196948682,0.020979021,0.07,0.06,0.05,3844755,355757,NA,NA,NA,NA,1514925,329297,29933,2729,NA,NA,NA,NA,11117,2610,23397,1643,NA,NA,NA,NA,6434,1562,174428,16027,NA,NA,NA,NA,64763,14698,1,201,NA
