"Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black.Hawk","Boone","Bremer","Buchanan","Buena.Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro.Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des.Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O.Brien","Osceola","Page","Palo.Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Unknown","Van.Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"19185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19186",11,4,10,21,4,49,276,33,30,47,20,16,30,60,10,36,77,42,25,32,32,25,157,63,168,9,17,37,103,29,227,8,35,27,33,6,8,20,19,22,23,37,13,29,16,18,10,31,56,85,29,465,48,10,55,60,634,32,12,20,21,42,54,77,34,12,10,22,24,64,21,3,28,13,47,7,1092,209,52,7,28,345,29,43,159,41,12,18,-1,10,67,95,67,9,76,32,12,256,12,19
"19193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19193",14,4,9,32,11,50,340,25,38,62,18,25,23,32,24,48,91,33,23,16,40,31,144,45,167,6,11,29,124,32,248,24,47,30,22,18,18,21,13,20,26,59,20,57,28,25,22,35,44,85,41,447,64,25,24,53,642,25,22,15,32,54,51,90,57,8,27,11,29,55,17,6,25,15,43,19,1081,228,39,5,38,402,28,43,146,45,9,28,4,19,63,72,58,19,101,18,24,278,13,18
"19200",5,5,23,18,10,41,392,36,41,77,23,28,21,45,14,41,119,47,27,52,50,28,155,12,192,9,27,42,91,29,211,11,44,25,42,22,17,28,25,27,33,68,31,43,20,28,14,29,44,83,33,460,47,31,26,69,680,20,29,9,38,56,50,106,46,13,13,28,29,75,26,10,27,24,53,15,1232,240,43,10,38,412,32,36,167,37,8,29,-3,20,87,105,78,23,131,41,53,375,18,26
"19207",22,4,36,26,8,51,396,54,55,70,45,20,21,59,18,46,88,32,38,21,63,34,144,40,192,11,22,55,144,20,235,12,56,54,28,16,16,17,18,22,16,36,23,79,15,25,18,26,51,89,49,460,82,27,37,78,594,22,19,12,20,40,58,176,29,16,16,16,23,84,16,5,35,19,51,38,1282,211,42,14,44,344,19,63,123,38,7,25,0,15,56,90,84,5,124,30,31,381,16,21
"19214",19,7,29,22,6,56,414,33,56,90,70,40,38,33,14,41,130,75,28,29,48,33,159,30,195,7,19,67,124,30,209,19,59,61,23,15,14,18,28,26,38,61,19,66,12,23,20,29,39,115,47,418,55,23,62,83,491,24,19,17,15,62,50,141,43,21,19,20,26,101,26,6,28,28,53,31,1038,212,39,17,46,368,28,74,141,39,9,34,-1,18,84,108,62,18,144,21,41,333,15,23
"19221",7,10,19,17,13,55,363,50,34,38,66,34,13,22,9,38,85,54,16,21,47,33,187,34,157,8,16,60,89,32,192,17,50,36,20,10,8,33,14,31,23,34,11,47,13,25,17,23,58,74,43,397,39,17,34,79,517,37,12,10,22,70,91,102,26,17,37,12,23,103,22,9,20,14,40,13,891,132,39,10,39,420,12,48,120,36,23,26,1,11,69,81,56,8,127,29,46,229,14,26
"19228",14,12,24,30,11,50,310,51,28,46,30,20,21,23,12,34,55,61,18,18,42,29,170,22,148,4,15,29,71,32,188,17,42,26,18,6,13,27,25,19,19,47,25,44,6,23,14,29,39,106,55,392,35,15,44,75,449,21,14,16,29,56,82,88,35,10,24,17,25,82,24,8,30,28,33,9,918,170,36,12,20,484,23,46,131,26,13,31,0,11,72,95,52,12,107,26,23,235,12,28
"19235",18,3,18,35,7,50,274,73,36,43,29,25,16,48,10,34,65,34,17,20,20,33,116,26,195,11,13,24,79,22,169,23,67,18,19,5,15,30,30,25,9,37,32,50,16,39,10,46,53,91,32,377,45,24,26,103,510,22,34,9,38,39,85,94,29,11,23,13,19,70,17,2,36,22,35,10,1143,206,71,13,20,328,16,34,178,35,5,32,-2,17,61,116,57,8,90,14,25,193,11,20
"19238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19242",5,10,12,28,12,42,207,38,32,18,13,27,29,25,15,33,91,24,17,19,24,22,154,33,136,7,11,20,79,20,173,7,40,29,18,3,17,17,24,19,10,40,29,32,16,27,10,21,47,84,42,318,39,25,16,91,433,28,26,21,27,44,60,77,16,4,25,9,11,63,25,8,38,10,32,12,954,141,27,5,16,312,9,47,187,33,10,14,4,10,59,87,49,12,75,13,17,201,10,6
"19249",18,3,10,38,11,43,222,55,31,20,24,24,24,17,11,40,71,19,18,14,28,20,95,32,125,16,14,26,76,46,133,12,31,22,23,31,8,12,22,28,10,42,27,45,19,24,10,25,36,82,45,313,30,35,16,70,419,15,33,26,25,24,41,72,28,5,23,23,20,57,19,6,35,19,31,10,875,168,36,5,17,258,16,32,116,23,16,27,-3,14,76,87,56,16,65,16,19,204,6,21
"19256",5,5,8,39,5,39,130,35,34,19,18,31,14,18,9,27,60,13,16,11,34,11,84,16,78,11,27,31,103,25,89,15,54,6,11,9,3,12,9,23,8,52,12,28,3,10,16,26,33,37,49,241,32,16,14,63,298,10,15,18,12,39,38,48,20,10,18,28,12,37,24,5,18,5,31,5,481,117,32,11,13,205,10,37,81,16,12,19,2,13,65,68,49,22,32,19,15,116,13,6
"19263",8,4,8,19,1,26,90,28,19,17,12,9,8,25,8,18,23,12,10,11,36,11,34,14,64,6,8,12,53,23,56,15,21,6,6,10,11,10,6,13,4,41,6,37,6,5,6,9,17,30,39,208,11,8,9,33,247,10,6,7,12,15,25,27,10,3,8,8,5,42,14,6,8,11,18,3,379,92,23,7,9,130,9,18,88,19,5,11,-1,17,36,40,31,14,38,5,8,83,18,11
"19270",7,3,4,12,0,29,116,23,9,15,8,11,13,7,6,19,35,8,6,4,22,16,25,15,57,4,5,18,78,18,59,4,17,10,7,2,4,4,9,16,11,31,6,30,4,3,3,12,24,13,20,172,13,8,9,37,230,15,6,18,13,18,33,18,14,11,3,6,8,83,15,10,6,5,9,6,323,68,14,1,12,104,12,21,43,8,4,14,-3,15,23,32,15,4,25,12,15,84,6,5
"19277",26,4,13,12,9,18,107,17,12,17,7,9,6,16,5,20,20,3,4,3,8,9,30,16,46,4,8,12,44,15,83,12,11,4,12,1,5,2,12,13,3,24,5,14,7,3,6,11,23,15,14,202,18,6,7,29,212,4,8,8,12,13,19,18,13,2,7,5,9,30,11,4,7,6,17,9,276,81,14,18,15,131,9,16,54,13,8,10,0,10,22,27,21,5,33,9,11,61,2,4
"19284",3,3,5,5,1,18,107,10,8,20,18,4,11,7,14,8,24,9,6,9,13,25,46,24,40,3,6,17,55,13,83,12,12,11,8,5,5,7,12,17,9,14,10,15,3,9,3,9,6,24,17,156,16,5,4,26,171,9,2,4,12,12,15,21,9,5,4,6,8,13,8,4,5,11,18,31,265,71,15,11,24,66,6,13,48,5,3,8,0,2,18,29,16,5,17,5,14,65,8,16
"19291",1,4,9,13,7,21,106,13,12,14,11,9,11,26,5,30,44,11,13,7,16,49,39,16,41,2,7,14,39,31,131,11,12,16,1,3,17,9,5,3,8,22,11,20,8,9,5,6,17,22,10,170,14,4,7,44,282,9,10,17,4,18,15,22,10,24,22,6,2,32,6,1,1,2,20,9,302,69,17,11,16,146,7,18,41,15,4,15,2,4,18,29,17,8,29,8,18,61,8,18
"19298",3,0,14,9,8,37,135,22,11,12,8,20,11,25,9,10,37,4,16,4,7,59,38,11,63,0,2,11,65,7,127,9,21,11,3,4,11,12,1,5,7,30,4,25,6,5,5,14,19,20,19,152,12,5,8,39,215,6,14,10,9,13,29,29,11,19,6,10,1,33,5,4,5,4,17,10,290,50,12,4,14,105,17,24,53,10,5,24,-3,3,10,16,21,6,49,36,13,70,6,11
